,signal_time,deviation,max_loss,target_percent,flip,LTC 1,LTC 5,LTC 15,LTC 60,ETH 1,ETH 5,ETH 15,ETH 60,BTC 1,BTC 5,BTC 15,BTC 60,BCH 1,BCH 5,BCH 15,BCH 60
85,794.0,3.1496,0.214,0.086,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
86,153.0,3.5416000000000003,0.221,0.256,False,98.0,107.94075850169132,110.09774948852012,100.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.0,98.0,98.0,98.0,100.0
87,90.0,2.9484000000000004,0.254,0.256,True,105.60430155258611,112.02040826813275,98.0,109.18299660488677,98.0,102.69844522056026,98.0,100.0,103.27054887274764,138.04403322777284,132.80762532869792,100.0,98.0,100.4193030371519,98.0,98.0
88,925.0,3.8424,0.078,0.241,True,107.0071763137642,108.9822777777778,100.0,100.0,109.94699674703813,98.0,100.0,100.0,113.91369301079312,100.0,100.0,100.0,117.26387626944043,98.0,100.0,100.0
89,334.0,0.7212000000000001,0.044,0.198,False,98.0,98.0,107.25126168497351,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,114.67229071344958,98.0,98.0,98.0,98.0
90,377.0,0.8224,0.083,0.195,True,98.0,105.4061419475582,105.47692831153846,98.0,98.0,98.0,104.4749470535846,100.0,98.0,107.9532766523311,127.51884097021656,98.0,98.0,98.0,109.70347951753632,100.0
91,590.0,2.7324,0.138,0.182,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
92,486.0,2.44,0.273,0.026,False,98.0,110.72135384587489,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
93,758.0,2.9536000000000002,0.08,0.044,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
94,885.0,1.6024,0.159,0.226,True,119.07557379253927,102.5913264216919,100.0,100.0,98.0,100.02606465648809,100.0,100.0,109.12964986275512,123.0534356214144,98.0,100.0,98.0,103.96877592005086,100.0,100.0
95,634.0,3.8836000000000004,0.25,0.127,False,98.0,98.0,100.30848617421056,100.0,98.0,98.0,98.0,100.0,98.0,100.0,100.0,100.0,98.0,98.0,98.0,100.0
96,929.0,3.294,0.241,0.021,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,101.74419611669545,100.0,98.0,98.0,98.0,100.0
97,280.0,2.95,0.12,0.076,True,98.0,101.47197849030162,117.03834106728539,100.0,98.0,103.17069136788099,98.0,100.0,117.13439787791398,138.76154416398782,115.18485198502556,100.0,98.0,104.71771201095537,101.69488111284042,100.0
98,219.0,1.5084,0.139,0.241,True,98.0,128.97525990823755,98.0,100.0,98.0,98.0,100.68836160833668,100.0,98.0,117.57987479855547,128.38420234613812,98.0,98.0,107.76921806326155,98.0,100.0
99,314.0,3.4804000000000004,0.141,0.042,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
100,43.0,1.4508,0.0,0.195,True,98.0,98.0,111.31072316980152,107.22452533667246,98.0,98.0,98.0,98.0,98.0,98.0,98.0,116.72869213196488,98.0,98.0,98.0,98.0
101,935.0,1.0476,0.149,0.021,True,130.4209844054383,98.0,98.0,100.0,98.0,101.18487718236902,98.0,100.0,120.99078905633482,129.1506185753265,98.0,100.0,98.0,103.74740148044965,98.0,100.0
102,163.0,2.5060000000000002,0.016,0.242,True,98.0,116.39254132086589,98.0,100.0,98.0,98.0,98.0,100.0,98.0,111.63059406888696,127.59461131308517,100.0,98.0,98.0,105.55386352111343,100.0
103,644.0,2.4716,0.237,0.084,True,98.0,103.23920278497476,100.0,100.0,100.74723088657333,98.0,100.0,100.0,123.57560321818347,123.76119412410782,100.0,100.0,98.0,103.0701885993435,98.0,100.0
104,20.0,1.3384,0.047,0.297,False,98.0,109.38924486303215,116.20862150221599,123.52970000327363,98.0,98.0,100.42930232947829,98.0,109.27098677602366,110.19440229767253,120.80896139997029,103.5105341515632,98.0,98.0,103.8570576437443,98.0
105,348.0,1.4172,0.205,0.144,False,98.0,118.68013933393097,103.97391426227611,100.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,100.0,100.07172774426536,98.0,98.0,104.44430746471059
106,720.0,1.6996,0.033,0.185,True,119.54768523675895,105.38374547400376,100.0,100.0,98.0,101.20307714617836,98.0,100.0,106.69864915538639,129.74351183568075,98.0,100.0,98.0,98.0,98.0,100.0
107,539.0,2.9024,0.055,0.063,True,112.57928794238168,111.04183677820305,98.0,100.0,98.0,98.0,100.0,100.0,134.49950031562133,117.80031724499594,100.0,100.0,103.38641137219541,102.95960241840702,98.0,100.0
108,889.0,2.6224000000000003,0.232,0.054,False,98.0,108.81455568056786,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
109,345.0,2.0192,0.089,0.198,True,100.84375212857019,101.66165741873958,103.61158919232304,100.0,98.0,98.0,98.0,100.0,98.0,98.0,109.98617846534918,100.0,98.0,98.0,103.29648056083954,100.0
110,332.0,2.7544,0.12,0.031,False,98.0,104.95122487197685,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
111,830.0,0.6992,0.088,0.29,False,98.0,115.66774797726666,103.44209505837718,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
112,273.0,2.4784,0.234,0.25,True,98.0,121.74967588879565,119.49818012132523,100.0,98.0,98.0,98.0,100.0,98.0,112.62417157495281,118.80130117024518,100.0,98.0,98.0,98.0,100.0
113,104.0,1.0516,0.132,0.007,False,98.0,98.0,102.711212580058,102.20629696429964,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,107.71572577444731,98.0,98.0
114,256.0,1.6084,0.217,0.074,True,98.0,112.84555837498465,98.0,100.0,98.0,98.0,98.0,100.0,98.0,114.25266235224241,123.13657552028894,98.0,98.0,104.7401251537924,110.67599302298862,100.0
115,444.0,0.8124,0.113,0.114,False,98.0,127.9789876481656,98.0,98.0,98.0,98.0,98.0,98.0,98.0,101.49259719610171,98.0,100.0,98.0,98.0,98.0,98.0
116,793.0,2.7604,0.256,0.145,True,113.04035764119452,119.88254534815682,100.0,100.0,98.0,100.72646530025172,100.0,100.0,123.22629976190919,118.76085789186237,100.0,100.0,103.9630468605675,104.3222406850197,100.0,100.0
117,369.0,3.7568,0.245,0.021,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
118,350.0,1.4264000000000001,0.266,0.141,True,107.61329279574232,98.0,100.6571296780735,100.0,98.0,98.0,101.65802388559332,100.0,98.0,114.56049599119457,124.95511697388602,98.0,98.0,98.0,106.68339503709268,100.0
119,287.0,2.8040000000000003,0.08,0.077,False,102.85006184232307,107.4286307841164,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
120,468.0,3.7408,0.007,0.003,True,117.9104533241297,106.90245951347335,98.0,100.0,98.0,100.0,100.0,100.0,146.4269468019477,117.82399462049219,100.0,100.0,117.73212647148956,101.62341166779792,98.0,100.0
121,800.0,3.8068,0.171,0.267,False,105.59761009302493,98.0,100.30848617421056,100.0,98.0,98.0,98.0,100.0,98.0,100.0,100.0,100.0,98.0,98.0,98.0,100.0
122,969.0,1.7688000000000001,0.021,0.279,True,115.6826938898767,117.66962537988684,100.0,100.0,98.0,98.0,100.0,100.0,116.39959102097278,119.32230651409016,98.0,100.0,115.90631246875492,104.69102576103616,100.0,100.0
123,811.0,1.4380000000000002,0.288,0.299,False,98.0,108.236611408242,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
124,736.0,0.8936000000000001,0.273,0.104,True,114.05970672337116,115.8126728059816,98.0,100.0,98.0,98.0,98.0,100.0,98.0,115.55198862683906,98.0,100.0,98.0,98.0,98.0,100.0
125,802.0,3.9976000000000003,0.184,0.127,True,110.15540627684364,108.9822777777778,100.0,100.0,109.53784757230882,98.0,100.0,100.0,102.60555232967562,100.0,100.0,100.0,125.36391159839964,101.63870691644154,100.0,100.0
126,763.0,3.75,0.089,0.26,False,98.0,98.0,100.30848617421056,100.0,98.0,98.0,98.0,100.0,98.0,100.0,100.0,100.0,98.0,98.0,98.0,100.0
127,995.0,1.0628,0.252,0.026,True,132.06695185485296,98.0,98.0,100.0,98.0,105.21805931838314,98.0,100.0,114.25845999527161,131.068637638447,98.0,100.0,98.0,108.56464089274894,98.0,100.0
128,318.0,3.8544,0.209,0.265,True,121.12516816594609,98.0,108.08072876712328,100.0,98.0,100.0,100.0,100.0,148.03990663715683,106.53531239400017,100.0,100.0,98.0,105.80353216129902,98.0,100.0
129,784.0,2.9644,0.023,0.235,False,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0,98.0,98.0,98.0,100.0
